plan#,Ap,Bp,L,F,plan_reward,plan_time,obs_dis,loss,mae,mean_q
2625,0.85,0.65,1.0,0.3258177047897635,-0.0917984349654,0.0,0.0,1.1400055,0.74626935,2.7071998
2626,0.8,0.65,1.0,0.3315595675087033,-0.107386299011,0.0,0.0,1.170466,0.7541071,2.7186604
2627,0.85,0.65,1.0,0.32149074657068677,-0.0992585610516,0.0,0.0,1.3125395,0.74167526,2.6269631
2628,0.9,0.65,1.0,0.33774731798334784,-0.0938622792849,0.0,0.0,1.3142065,0.74227154,2.6322474
2629,0.95,0.65,1.0,0.3250837168279115,-0.0894778649535,0.0,0.0,1.3130908,0.7421611,2.6339974
2630,0.9,0.65,1.0,0.3386824033296915,-0.086396031591,0.0,0.0,1.1176293,0.7414552,2.6326623
2631,0.95,0.65,1.0,0.294855450085034,-0.101821604316,0.0,0.0,0.67923003,0.7267698,2.629679
2632,1.0,0.65,1.0,0.3234131191638276,-0.0912838113561,0.0,0.0,1.3044776,0.9714912,3.5760262
2633,1.0,0.65,1.0,0.3283540423772904,-0.0943782412042,0.0,0.0,1.3033441,0.97085774,3.5734732
2634,1.0,0.65,1.0,0.3245518351090477,-0.0914018134775,0.0,0.0,1.2884403,0.9695466,3.5684319
2635,1.0,0.65,1.0,0.21372468050125093,-0.088003047362,0.0,0.0,1.2694188,0.9678159,3.5611734
2636,1.0,0.65,1.0,0.2863136242788006,-0.0814897912,0.0,0.0,1.2425267,0.96561134,3.551949
2637,1.0,0.65,1.0,0.2265632969252458,-0.0785658960686,0.0,0.0,1.2188396,0.96322477,3.5409977
2638,0.95,0.65,1.0,0.08963970850687411,-0.0729966957205,0.0,0.0,0.95507085,0.96046335,3.5285327
2639,1.0,0.65,1.0,0.07525099882410977,-0.0628736732503,0.0,0.0,1.1526506,0.95735115,3.5161252
2640,1.0,0.65,1.0,0.23928801134466046,30.0,0.0,0.0,351.06015,1.8801088,3.5024478
2641,1.0,0.65,1.0,0.31714582940294933,-0.130388935153,0.0,0.0,1.2038852,0.73932993,2.6686077
2642,1.0,0.65,1.0,0.3095034993126382,-0.123751106882,0.0,0.0,1.1878557,0.7058138,2.5669918
2643,0.95,0.65,1.0,0.3345087358608194,-0.11898926316,0.0,0.0,0.9914743,0.7086565,2.5834913
2644,1.0,0.65,1.0,0.3197477839000216,-0.111790214241,0.0,0.0,1.2167822,0.71081394,2.5975022
2645,0.95,0.65,1.0,0.3250346452136462,-0.10886681789,0.0,0.0,0.98982114,0.7125252,2.608347
2646,0.9,0.65,1.0,0.32017195612148663,-0.0997713441739,0.0,0.0,0.98150814,0.71352947,2.6172376
