plan#,Ap,Bp,L,F,dp_obs,min_obs_dis,plan_reward,plan_time,obs_dis,loss,mae,mean_q
1,1.05,1.0,1.0,1.26365958286,0.0,2.40762209892,-18.256665888,0.0,0.0,166.80211,0.712164,0.10055352
2,1.0,0.95,1.0,2.96796105934,0.0,2.47329354286,-17.860189916,0.0,0.0,158.72433,0.69249135,0.08049361
3,1.0,0.9,1.0,2.34461896254,0.0,3.42966461182,-18.5897466439,0.0,0.0,171.52486,0.71730345,0.076968975
4,1.0,0.9,0.95,2.50818924738,0.0,2.38533353806,0.02,0.0,0.0,0.00040992745,0.03522466,0.09270571
5,1.0,0.95,1.0,3.4802619083,0.0,2.6520690918,0.02,0.0,0.0,0.00164297,0.029744731,0.065989226
6,1.05,0.9,1.0,2.8054969771,0.0,2.73824739456,0.02,0.0,0.0,0.0023023658,0.030185195,0.06617938
7,1.1,0.9,0.95,2.872818218,0.0,2.74861860275,0.02,0.0,0.0,0.0086985715,0.031597223,0.065312386
8,1.05,0.85,1.0,2.02121655775,0.0,2.71480178833,0.38,0.0,0.0,0.09921561,0.0438238,0.06455988
9,1.05,0.8,1.0,1.60834543539,0.0,2.71874523163,0.66,0.0,0.0,0.23830864,0.05112103,0.06389667
10,1.0,0.75,1.0,1.30886982513,0.0,2.71195697784,0.94,0.0,0.0,0.5071262,0.063868344,0.06337941
11,1.05,0.8,1.0,2.8974324329,0.0,2.66875624657,1.48,0.0,0.0,1.1857742,0.08279706,0.06293672
12,1.0,0.75,1.0,6.52775620056,0.0,2.71362185478,1.66,0.0,0.0,1.4837676,0.088251136,0.06490769
13,0.95,0.75,1.0,2.32644932104,0.0,2.73326015472,1.96,0.0,0.0,2.051823,0.09939594,0.064543545
14,0.9,0.7,1.0,1.41710679365,0.0,2.74429821968,2.5,0.0,0.0,3.2919152,0.119256325,0.064235665
15,0.9,0.65,1.0,11.8576646311,0.0,2.77002954483,2.7,0.0,0.0,3.8259733,0.12662242,0.06406421
16,0.9,0.65,0.95,1.88781367374,0.0,2.75761246681,2.76,0.0,0.0,3.8527777,0.12512518,0.06404305
17,0.85,0.6,0.95,4.18900264932,0.0,2.76122665405,3.14,0.0,0.0,5.133152,0.1429335,0.06498655
18,0.9,0.6,0.95,3.27158059312,0.0,2.76122665405,3.38,0.0,0.0,6.1706467,0.15316932,0.06598513
19,0.9,0.6,0.9,2.45794312788,0.0,3.39154052734,3.62,0.0,0.0,6.5940037,0.15686965,0.067177705
20,0.95,0.65,0.95,3.1659242375,0.0,3.08417630196,3.94,0.0,0.0,7.919077,0.17104241,0.06858172
21,1.0,0.6,1.0,2.12386576963,0.0,3.38296723366,4.04,0.0,0.0,8.548908,0.17806548,0.070201874
22,1.0,0.6,1.0,0.199976408312,0.0,3.49948763847,4.18,0.0,0.0,9.083726,0.1835798,0.07144447
23,1.05,0.6,0.95,0.207227147574,0.0,3.37303900719,4.6,0.0,0.0,10.973432,0.19946858,0.07248288
24,1.0,0.6,1.0,0.175577343831,0.0,3.40664744377,4.94,0.0,0.0,12.318295,0.20827085,0.073237956
25,0.95,0.6,0.95,0.154257228056,0.0,3.22715759277,5.32,0.0,0.0,14.525259,0.2257992,0.074178934
26,0.9,0.55,1.0,0.0819713821805,0.0,3.25419473648,5.36,0.0,0.0,14.673151,0.22764346,0.074067414
27,0.85,0.5,0.95,0.0443998914382,0.0,3.3804063797,5.72,0.0,0.0,16.925379,0.24276347,0.074610986
28,0.8,0.5,0.9,0.0311958146451,0.0,3.3804063797,6.06,0.0,0.0,18.8361,0.24857292,0.06310811
29,0.8,0.55,0.95,0.0709044424987,0.0,3.71672844887,5.74,0.0,0.0,16.618568,0.23378499,0.06298568
30,0.85,0.6,0.9,1.37278159095,0.0,3.82980155945,5.92,0.0,0.0,17.656385,0.24058466,0.06315713
31,0.9,0.55,0.85,0.0598257085478,0.0,3.82980155945,6.22,0.0,0.0,19.921116,0.25547996,0.06355288
32,0.9,0.5,0.85,0.0310694141483,0.0,3.82980155945,6.46,0.0,0.0,21.065372,0.2620975,0.0639261
