plan#,Ap,Bp,L,F,dp_obs,min_obs_dis,plan_reward,plan_time,obs_dis,loss,mae,mean_q
1,1.05,1.0,1.0,6.29839331847,5.80847263336,3.07666039467,-25.156844381030755,0.0,0.0,316.1364,0.9715365,0.11517189
2,1.0,0.95,1.0,10.0,5.62934064865,3.00212287903,-26.965173657656777,0.0,0.0,361.8141,1.0368092,0.111102715
3,1.0,0.9,1.0,10.0,5.52582120895,3.2152633667,-21.638296097821012,0.0,0.0,232.27664,0.8378534,0.10670129
4,1.0,0.9,0.95,1.19305091123,5.22478580475,3.17990159988,-22.12723265972233,0.0,0.0,244.56308,0.8544166,0.10384206
5,1.0,0.95,1.0,1.31644173036,4.96444225311,3.34042406082,-19.319720387151328,0.0,0.0,184.86612,0.749071,0.100153506
6,1.05,0.9,1.0,1.30611320996,4.69640254974,3.12807059288,-22.895206219492554,0.0,0.0,260.61423,0.88351464,0.098698765
7,1.1,0.9,0.95,10.0,4.44733333588,3.1765973568,-21.542386971960916,0.0,0.0,229.15292,0.82688594,0.09499707
8,1.05,0.85,1.0,10.0,4.21563768387,3.16532444954,-21.520663737290317,0.0,0.0,229.74533,0.8274376,0.092768
9,1.05,0.8,1.0,10.0,3.94471287727,3.21353435516,-20.1762258656697,0.0,0.0,202.8613,0.7773598,0.09014236
10,1.0,0.75,1.0,10.0,3.74902009964,3.19694662094,-20.16346733621931,0.0,0.0,201.78606,0.77571046,0.08672234
11,1.05,0.8,1.0,10.0,3.30160021782,3.20270800591,-19.73522303430088,0.0,0.0,193.2757,0.75872,0.08319773
12,1.05,0.85,1.0,10.0,3.27449846268,3.29849529266,-17.78785096800243,0.0,0.0,156.59106,0.68517065,0.07986975
13,1.0,0.85,1.0,10.0,3.2711122036,3.13411474228,-20.49109509350543,0.0,0.0,208.34105,0.7838341,0.073524535
14,0.95,0.8,1.0,7.28420066507,3.3211183548,3.13411474228,-20.25109509350543,0.0,0.0,203.75595,0.77477664,0.07382436
15,0.95,0.75,1.0,6.19929736438,3.35198521614,3.19540953636,-18.597806778174466,0.0,0.0,171.27667,0.7124108,0.070740044
16,0.95,0.75,0.95,10.0,3.40386176109,3.00084257126,-23.09992446936737,0.0,0.0,266.12756,0.87829804,0.06799983
17,0.9,0.7,0.95,10.0,3.49215960503,3.11596179008,-20.026551094418437,0.0,0.0,199.13007,0.76355505,0.06490554
18,0.95,0.7,0.95,3.4739426062,3.63009738922,3.12222957611,-19.655304098780345,0.0,0.0,190.60245,0.7459737,0.06219732
19,0.95,0.7,0.9,2.36342316171,3.86723804474,3.17760705948,-18.079395144130146,0.0,0.0,162.78094,0.6901141,0.060475063
20,1.0,0.75,0.95,1.85651272747,4.16051435471,3.53663730621,-10.974097069129437,0.0,0.0,59.589684,0.42646694,0.058276396
21,1.05,0.7,1.0,1.2062784782,4.20208311081,3.73270058632,-8.084315512564256,0.0,0.0,31.862091,0.3125446,0.042931195
22,1.05,0.7,1.0,1.0077162982,4.22896718979,3.9273686409,-5.493340517266036,0.0,0.0,14.589356,0.21687357,0.0413304
23,1.1,0.7,0.95,10.0,4.19900369644,3.88929629326,-5.430638793193238,0.0,0.0,14.155083,0.21279676,0.0396397
