epi#,epi_reward,epi_steps
395,-636.4868818934162,30
396,-271.0945942659438,20
397,-429.47585655122714,20
398,-245.2397330926098,10
399,-375.3111595407239,20
400,-665.8777244222072,30
401,-246.59858723143145,10
402,-130.2806759661646,10
403,-154.4635694761982,10
404,-216.51369186657962,10
405,-341.8772535331334,20
406,-222.4317124113732,10
407,-76.43245057933356,10
408,-159.8016594039608,10
409,-286.3908683119898,10
410,-488.4211095254933,20
411,-396.0888587707608,20
412,-362.917385183331,20
413,-366.11635145413675,20
414,-189.18767875623294,10
415,-373.66286257994557,10
416,-73.6230686756516,10
417,-109.07377391116583,10
418,-73.07681890076184,10
419,-329.6604419123348,20
420,-83.30235102207345,10
421,-102.27230785350886,10
422,-491.5623298712483,20
423,-291.327873168319,10
424,-491.071481366504,20
425,-196.0585052969504,10
426,-433.99656835778404,20
