epi#,epi_reward,epi_steps
0,-211.52035598327433,39
1,-1461.2355417426286,38
2,-638.9562086949609,42
3,-827.1679122377777,39
4,-143.15827532225836,41
5,-342.6163413942753,39
6,-511.5510907399557,39
7,-940.5239635139928,40
8,-803.9956910883698,41
9,-329.78700863708195,39
10,-606.6203789217358,35
11,-268.90967715159536,40
12,-533.8177209896128,40
13,-660.5635940212461,39
14,-788.6384659703149,39
15,-659.7191132227928,131
16,-546.1304542935188,39
17,-224.71398974125486,39
18,-146.80253372427333,40
19,-129.5302202319494,39
20,-120.04424545585545,40
21,-398.4495320069163,42
22,-440.4848061088387,38
23,-576.8538158961671,40
24,-729.4095937764178,42
25,-481.15720216920977,37
26,-480.6929457056117,37
27,-665.495466334622,37
28,-739.1409597515565,40
29,-276.9440643300436,35
30,-380.19367452545964,35
31,-705.0722528843179,34
32,-747.880240444391,35
33,-808.7327075348363,33
34,-1147.1495096852564,35
35,-625.5238071043478,37
36,-344.3486202072246,38
37,-412.82749728615113,33
38,-478.17875889110223,35
39,-824.3072650618556,34
40,-231.281434495493,36
41,-426.14545224365224,119
42,-27.4457598261,38
43,-196.27142309296076,33
44,-304.22178727474426,37
45,-245.82148235995237,33
46,-1.4385719617217205,35
47,-104.96554639804307,36
48,-202.3632424695003,29
49,10.623137143015214,40
50,-797.55782608214,66
51,-417.0008243075224,74
52,-61.20403060358129,39
53,-574.9200666796532,107
54,-164.92985085324676,33
55,-1518.0061228114992,30
56,98.82669283677085,31
57,-897.7160706166496,30
58,-40.08623488644207,31
59,-316.72304016913506,69
60,-28.78791609989179,33
61,-277.0124219188694,30
62,-281.58396148500816,65
63,-145.17831377189802,29
64,42.0731477525625,29
65,-19.153644312609245,29
66,-109.86540351079324,26
67,-307.81797606532825,29
68,19.042621466470095,30
69,-317.3584132268397,59
70,-176.33116401240636,27
71,-232.65241511809353,84
72,-393.1057040771329,57
73,-552.9336972519585,53
74,-119.58521562333283,26
75,17.923366559568933,26
76,47.35175072614743,28
77,-78.17754706639124,29
78,-68.09759164719554,26
79,95.460976481,25
80,-523.4965901775915,80
81,-159.13829411272604,24
82,-1715.5347425696343,46
83,-181.19703603417656,24
84,-146.7603405772239,22
85,-19.858970633102487,24
86,-85.73067012997927,23
87,-225.04669262943452,23
88,-57.03340721558689,23
89,-161.44492590980025,27
90,-1049.146149299811,17
91,-145.22612887321114,22
92,-265.1283586954771,48
93,-121.77473714200562,22
94,-203.10278608312353,19
95,-33.0666615181257,20
96,-187.22650148646454,19
97,-360.50285991893804,19
98,-400.61305952656903,19
99,-340.7035308222796,19
100,-738.0783213611636,20
101,-393.02241977001,20
102,-318.0175287242506,20
103,-547.210137671804,20
104,-546.4023397735032,47
105,-29.62384584930558,17
106,-59.28587654613693,18
107,-335.04359349685734,18
108,-431.52846131240375,20
109,-214.43222063210507,20
110,-1134.4920145985725,40
111,-263.01503112956027,20
112,-355.1521945548474,43
113,38.254563311673586,21
114,52.35089235948126,18
115,-310.4056648692454,18
116,67.50726522649344,22
117,9.364957155185948,20
118,-41.944147202350564,18
119,-137.49111225902573,20
120,-1077.8914238505395,20
121,-367.66174093063495,85
122,69.78736637538354,18
123,-41.39838884947122,17
124,-555.8011840291355,60
125,-61.28705528487322,20
126,-3.9864460313047516,20
127,-171.457352609794,40
128,31.82408914723088,20
129,-145.8953011222804,20
130,-341.3437573475207,40
131,-257.00574536614147,40
132,-57.56298354325763,20
133,-185.58211889359615,20
134,-123.04502016302904,20
135,-319.18902900075426,40
136,-342.6146585468282,40
137,-50.748386592632656,20
138,-175.13408079735018,20
139,-139.55686933998717,40
140,-223.5028914736692,40
141,-17.316968602109114,20
142,-13.589890349871524,20
143,-157.15563567088034,20
144,1.7623158477561134,19
145,46.671240673996834,21
146,-23.136711432707727,20
147,-296.66762362627867,19
148,-376.1252701028817,61
149,-121.80421487402265,40
150,-111.35406205748609,14
151,-769.9500082597725,96
152,-100.5235743673546,18
153,129.57708865,12
154,-291.0419247759269,19
155,-294.29027384877384,21
156,-41.146362339953015,19
157,-239.40222277563578,37
158,84.20615432332332,14
159,-236.6099211402705,16
160,81.859316835194,14
161,-205.4804574659671,19
162,-405.252383368285,21
163,-313.2870997505987,16
164,72.01812479678824,14
165,-357.4747184823497,16
166,-499.2537742088107,84
167,-14.2879606231,20
168,-180.3283466717333,35
169,-174.33921163994114,30
170,84.25619962843528,15
171,21.107272399896928,30
172,-52.77503936937586,16
173,-739.1172460625395,49
174,43.204513516477945,14
175,-163.00342985460475,18
176,89.09843633229113,10
177,104.26857841202741,13
178,-496.9891024699209,32
179,-112.47598659432188,16
180,-120.53614223352277,42
181,-133.02516597964828,19
182,-227.75497675537946,13
183,-77.05479256006771,14
184,-1.127287693878685,8
185,-322.1501729424968,29
186,-264.68800849365624,45
187,16.90371612438784,29
188,101.70110069450983,13
189,-768.9434511047807,73
190,-50.62070144568395,24
191,118.73875035975445,12
192,-173.415276376819,16
193,-173.96158602387237,28
194,-0.2082952037298611,14
195,-60.45067719590867,38
196,-318.89033437974325,44
197,-63.286771046863635,13
198,-232.25320437014966,41
199,-88.03742574656223,23
200,24.51204351953004,20
201,51.37441671698133,10
202,82.4367394196,13
203,-289.4788375947321,11
204,-171.92451628731897,25
205,-28.239737327978446,10
206,16.084429858994298,9
207,18.62536619334152,11
208,-10.037135550860569,8
209,-46.784744105138145,25
210,126.3045371913482,17
211,16.4315429614,8
212,-110.25441950849387,12
213,27.541535386755754,7
214,-100.98916427711137,21
215,-211.95702055485782,29
216,-126.94117141271514,23
217,14.0478971656,7
218,-85.38873950218544,30
219,-62.403445475573605,8
220,-57.97675117753724,14
221,-32.52672360481162,6
222,-275.95035445645607,20
223,-287.5994699025473,23
224,-274.09868173163704,19
225,-184.25522899264777,8
226,-653.8331584514661,40
227,-267.71201455584674,20
228,-357.0040966813566,20
229,-431.6586178865609,20
230,-648.2950741709336,30
231,-540.5788543624367,30
232,-75.13660907772726,10
233,-458.39740299247137,20
234,-137.7549650922669,10
235,-94.59039797628901,10
236,-281.84922979579653,10
237,-60.84665325624617,10
238,-364.4083659269987,20
239,-119.06925681446765,10
240,-472.83378380105194,20
241,8.53056073194,10
242,-161.90917928307204,10
243,-80.46658204997347,10
244,-183.71844212215433,10
245,-130.64655318424326,10
246,-190.4352817020031,10
247,-343.1191878669523,20
248,-393.1195505248213,20
249,-114.84569762304528,10
250,-443.7896479573551,20
251,-120.00751833120285,10
252,-608.3011210548177,30
253,-99.19843318439897,10
254,-196.81198480284303,20
255,-276.98069873436145,10
256,-656.2572297377972,20
257,-537.9897743920297,30
258,-116.21639721137466,10
259,-631.1964906536016,10
260,-244.52226018976864,10
261,-208.58022586756312,10
262,-105.39507198850112,10
263,-219.99371499638318,10
264,-205.95822335758018,10
265,-147.57607494098679,10
266,-87.60813362386422,10
267,-123.74733514164727,10
268,-208.3172299517679,10
269,-305.11193148780944,10
270,-252.6843568363526,10
271,-195.5957783040726,10
272,-384.5267863038729,10
273,-194.665305219872,10
274,-155.26809749241343,10
275,-155.57710317621866,10
276,-210.8939761217721,10
277,-333.91862080901944,20
278,-470.28126233388025,20
279,-186.59017511532414,10
280,-641.1146565220145,10
281,-98.35316921324215,10
282,-299.30363056157535,10
283,-213.19742173317587,20
284,-105.8008314619731,10
285,-315.67441734625527,20
286,-58.596636629954475,10
287,-159.99401934498883,10
288,-140.60548811105429,10
289,-105.02681688928435,10
290,-95.02142464365927,10
291,-406.2622110635853,20
292,-220.7581805576014,10
293,-770.7396611656361,40
294,-332.6904277707264,20
295,-892.869907638185,40
296,-123.16132658563492,10
297,-162.0243672802303,10
298,-50.2733526576,10
299,-52.56194381780924,10
300,-526.360410253242,40
301,-469.8208113744282,20
302,-146.5936992633484,10
303,-216.50623215977166,10
304,-156.6647066439205,10
305,-226.7587793484323,20
306,-112.59969085341409,10
307,-443.2583816004265,20
308,-786.3852462748076,10
309,-108.80365895559476,10
310,-183.18057780162758,10
311,-445.49413536770487,30
312,-77.41080356441378,10
313,-106.62278121578007,10
314,-454.32598093151495,20
315,-230.17837726083792,10
316,-449.2803527605086,20
317,-141.6822806201106,10
318,-151.09800416206508,10
319,-75.71500466798362,10
320,-811.6854285585479,40
321,-38.53151343492871,10
322,-49.3698971951,10
323,-241.66298558928312,20
324,-217.38063674700982,10
325,-355.0298688110966,10
326,-54.72682348687927,10
327,-75.75194731468255,10
328,-263.9536022548092,20
329,-75.22023018391084,10
330,-181.05497669916144,10
331,-705.4618774817513,30
332,-726.6610819072416,20
333,-512.0531696387716,20
334,-73.88634326253064,10
335,-324.66241233992946,10
336,-97.43957239308068,10
337,-439.5020728491818,10
338,-481.97056725985226,10
339,-236.2277514498383,10
340,-1061.0948255634762,30
341,-185.6000012028775,10
342,-352.39280066970673,20
343,-249.49481677083662,10
344,-218.26543198893847,10
345,-84.03406613199888,10
346,-247.58589163959883,10
347,-80.76148270558292,10
348,-539.337509567478,20
349,-853.3543010855328,30
350,-116.00569096746685,10
351,-273.5158716163751,10
352,-354.07933232036675,20
353,-155.4390465168245,10
354,-1220.7601182986098,60
355,-177.55400451643433,10
356,-282.0334880529271,10
357,-940.5802077018823,40
358,-923.7500286301092,40
359,-34.12380672850469,10
360,-113.42189427146764,10
361,-119.05667236338078,10
362,-518.6922104869832,30
363,-262.5403327391076,10
364,-207.52098850459936,10
365,-68.60376113448604,10
366,-262.83598871995764,20
367,-256.81892511724453,20
368,-373.5671831120304,20
369,-398.7310186299025,20
370,-121.88464184589171,10
371,-137.18085861850295,10
372,-187.42043169070467,10
373,-621.8642075304192,30
374,-24.6230874205,10
375,-188.86773455054742,10
376,-1107.6311745362968,50
377,-303.1770730728045,10
378,-38.681974247502666,10
379,-264.7231343783799,10
380,-171.37933029100958,10
381,-221.3100023502509,10
382,-523.7200777357729,30
383,-155.5829864351509,10
384,-174.88751160296758,10
385,-375.44322682929123,20
386,-70.97879143811686,10
387,-268.7537739325455,20
388,-115.2836043569443,10
389,-1071.8951044548078,10
390,-1091.6842239838043,50
391,-40.38190848040301,10
392,-302.46793979149254,20
393,-342.8363809135292,20
394,-161.96393754279916,10
