epi#,epi_reward,epi_steps
0,-120.1653937079054,36
1,-117.58806873206055,35
2,-101.16951530492668,36
3,-93.645742876615,33
4,-140.6926937942052,38
5,-113.14047276983825,36
6,-127.53805831113687,35
7,-63.647150357409885,31
8,-105.19227180999312,34
9,-115.38796884697425,34
10,-121.88689600398482,36
11,-138.16694093146617,36
12,-127.57548783519988,36
13,-121.67735161280652,36
14,-137.08167443690706,36
15,-92.20083076008805,32
16,-117.96462071243496,35
17,-66.95685927290381,28
18,-135.62117948810172,35
19,-118.38030396359395,34
20,-100.96858898173556,32
21,-95.93572055936303,30
22,-104.77280206906272,31
23,-131.03247665990483,35
24,-117.11311220682154,34
25,-113.42317519287207,32
26,-196.46232972122908,37
27,-104.80236404874722,34
28,-120.5469923213679,32
29,-113.59716322834151,33
30,-105.3037157718604,32
31,-62.180012892214194,26
32,-125.21913446101254,33
33,-126.60756631700502,36
34,-113.94974794012793,31
35,-101.35138995815808,33
36,-86.04586748469075,30
37,-96.84963214654181,32
38,-93.54037422285433,30
39,-77.80285917000779,28
40,-93.7199773553611,30
41,-98.76686425513202,31
42,-76.12297012551625,28
43,-114.47856724581024,31
44,-87.2878474565797,33
45,-107.92079172572252,34
46,-341.69135067738875,65
47,-97.61429134095638,31
48,-114.3287207760932,33
49,-80.63478536299806,31
50,-65.52549566441547,31
51,-110.16438991265258,31
52,-100.60061397825702,29
53,-99.49478455004167,30
54,-82.5732488731557,29
55,-79.44355847012523,31
56,-75.95403834748282,30
57,-86.64180948100531,30
58,-82.73300254200069,29
59,63.53133620904642,6
60,-39.99118980060754,23
61,-59.745661494855085,26
62,-27.626548380957985,19
63,-49.015943084532665,25
64,-50.22994724006179,24
65,-49.95545239115927,27
66,-78.73514587488162,27
67,-68.06767335268782,25
68,-76.16641569779117,27
69,-23.76224618973174,23
70,-100.88501121815531,29
71,-75.26249705978682,29
72,-79.05877105643464,28
73,-48.6487996593726,26
74,-72.04418117944903,27
75,-79.90407284860146,28
76,-48.89057777311476,26
77,-55.94492623694228,26
78,-65.5083894329158,26
79,-52.940856661124116,24
80,-54.936504772773276,26
81,-42.90557992950566,24
82,-80.31511859041859,27
83,-45.34468019467262,23
84,-63.506963356275094,26
85,-39.5166531927496,24
86,-66.99368890874322,25
87,-48.46384202108686,25
88,-71.12206568556792,27
89,-44.43880080045058,23
90,-65.02751686721089,27
91,-31.76966578030128,23
92,-152.7844055563507,40
93,-49.61466374037002,23
94,-49.44264103244424,22
95,-37.80396777508062,24
96,-78.38439407601012,24
97,-41.87341666727386,21
98,-52.7365720167202,24
