plan#,Ap,Bp,L,F,dp_obs,min_obs_dis,plan_reward,plan_time,obs_dis,loss,mae,mean_q
1527,1.0,0.1,1.0,1.00125801632e-05,3.99766564369,0.916282236576,-10.135647548572535,0.0,0.0,26.423958,6.888446,-4.476098
1528,1.0,0.1,1.0,1.03775199786e-05,3.66303706169,0.886608719826,-9.924666222387593,0.0,0.0,18.506191,6.8234744,-4.4725904
1529,1.0,0.1,1.0,1.86161895233e-05,3.35400795937,0.891421377659,-9.69004848893221,0.0,0.0,16.493774,6.8027,-4.47594
1530,1.0,0.1,1.0,0.000219917903526,3.03736639023,0.881937205791,-9.498922697109391,0.0,0.0,16.479357,6.8026705,-4.4863596
1531,1.0,0.1,1.0,6.8692733989,2.03942942619,0.997321307659,-8.80557303025665,0.0,0.0,13.101707,6.7832394,-4.5001373
1532,1.0,0.1,1.0,10.0,1.70755195618,0.753302335739,-8.998835684069304,0.0,0.0,9.031492,6.752922,-4.4991813
1533,1.0,0.1,1.0,10.0,1.44555544853,0.778833270073,-8.551141973235017,0.0,0.0,16.159632,4.0890603,-2.3065057
1534,1.0,0.1,1.0,10.0,1.16651213169,0.840077280998,-8.129686764413778,0.0,0.0,13.819949,4.086504,-2.3141677
1535,1.0,0.1,1.0,10.0,0.980323791504,0.855188310146,-7.861849658960527,0.0,0.0,7.2175574,4.00719,-2.328848
1536,1.0,0.1,1.0,10.0,0.882029592991,0.864091336727,-7.594001836827854,0.0,0.0,11.006794,4.1066837,-2.3469486
1537,1.0,0.1,0.95,10.0,0.897516787052,0.870478212833,-7.3341764713711175,0.0,0.0,5.5439243,4.0424905,-2.3702893
1538,1.0,0.1,1.0,10.0,1.02247917652,0.926189541817,-6.946509623618364,0.0,0.0,6.3757825,4.103907,-2.3946261
1539,1.0,0.15,1.0,10.0,1.25366377831,1.09730195999,-6.266248179054497,0.0,0.0,2.6730812,4.0665317,-2.419628
1540,1.0,0.15,1.0,10.0,1.49766051769,1.36645317078,-5.44428196748099,0.0,0.0,3.0031798,4.138418,-2.4446678
1541,1.0,0.15,1.0,0.3510551709,2.61312675476,1.81070435047,-4.38839816202273,0.0,0.0,0.93871737,4.128732,-2.4710197
1542,1.0,0.2,1.0,0.439924703356,2.76618385315,2.54792118073,-2.94,0.0,0.0,0.60484594,4.1108236,-2.496921
1543,1.0,0.25,1.0,0.220175817432,3.11528921127,2.92549681664,-2.4,0.0,0.0,1.3777053,4.1561236,-2.5191112
1544,1.0,0.25,1.0,0.0563373367323,3.44459629059,3.20696759224,-2.14,0.0,0.0,0.44136775,4.1859927,-2.5373356
1545,1.05,0.2,0.95,0.00225713586943,3.78768897057,3.56025576591,-1.94,0.0,0.0,1.0034362,4.210415,-2.5523036
1546,1.0,0.25,1.0,0.00319073468176,4.14425468445,3.86614537239,-1.7,0.0,0.0,1.9813206,4.232366,-2.5640316
1547,1.0,0.25,1.0,0.000808010339111,4.48167419434,4.23767185211,-1.48,0.0,0.0,1.3267326,4.2488074,-2.5717738
1548,1.0,0.25,1.0,0.000183311476707,4.85544061661,4.58717632294,-1.24,0.0,0.0,1.7515696,4.263035,-2.5761788
1549,1.0,0.2,0.95,1.2393916557e-05,5.12385082245,5.03205013275,-1.0,0.0,0.0,5.242779,4.274281,-2.5771859
1550,1.05,0.15,0.9,1.00005795175e-05,5.58485794067,5.23003339767,-0.7,0.0,0.0,3.5637488,4.2826395,-2.5747755
1551,1.1,0.1,0.85,1e-05,6.36264133453,0.863451659679,-12.115994429569437,0.0,0.0,44.579422,4.527088,-2.5692475
1552,1.1,0.1,0.9,1e-05,6.16055583954,0.756284534931,-12.14847655727021,0.0,0.0,33.91567,6.5757103,-4.2395387
1553,1.05,0.1,0.95,1.00000000006e-05,5.68723869324,1.3126155138,-10.928507756224635,0.0,0.0,23.238958,6.526176,-4.261654
1554,1.05,0.1,1.0,1.00000000209e-05,5.3258190155,0.861598372459,-11.38177461674244,0.0,0.0,23.660986,7.736268,-5.144538
1555,1.0,0.1,1.0,1.00000005186e-05,5.00109386444,0.832808613777,-11.172956001765591,0.0,0.0,23.251667,6.5818787,-4.3240395
1556,1.0,0.1,1.0,1.00000337904e-05,4.58620166779,0.735293924809,-11.26205148628709,0.0,0.0,26.361412,6.648464,-4.363035
